Date and time,Energy per inverter | Symo 24.0-3 480 (1),Energy per inverter per kWp | Symo 24.0-3 480 (1),Total system
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh]
01.01.2022,0.38,0.02,0.38
02.01.2022,0.44,0.02,0.44
03.01.2022,0.47,0.02,0.47
04.01.2022,0.49,0.02,0.49
05.01.2022,1.06,0.04,1.06
06.01.2022,0.81,0.03,0.81
07.01.2022,11.76,0.49,11.76
08.01.2022,32.38,1.35,32.38
09.01.2022,30.86,1.29,30.86
10.01.2022,31.71,1.32,31.71
11.01.2022,25.67,1.07,25.67
12.01.2022,34.62,1.44,34.62
13.01.2022,31.47,1.31,31.47
14.01.2022,32.06,1.34,32.06
15.01.2022,38.35,1.60,38.35
16.01.2022,34.46,1.44,34.46
17.01.2022,30.73,1.28,30.73
18.01.2022,17.92,0.75,17.92
19.01.2022,14.61,0.61,14.61
20.01.2022,8.48,0.35,8.48
21.01.2022,7.30,0.30,7.30
22.01.2022,32.13,1.34,32.13
23.01.2022,12.83,0.53,12.83
24.01.2022,18.77,0.78,18.77
25.01.2022,37.70,1.57,37.70
26.01.2022,18.78,0.78,18.78
27.01.2022,32.79,1.37,32.79
28.01.2022,42.34,1.76,42.34
29.01.2022,42.27,1.76,42.27
30.01.2022,42.00,1.75,42.00
31.01.2022,43.95,1.83,43.95